NewQuestion,MC,
Title,airspace_0001,
QuestionText,1067 The most comprehensive information on a given airport is provided by,
Points,1,
Difficulty,1,
Option,100,The Chart Supplement U.S. (formerly Airport/Facility Directory).
Option,0,Notices to Airmen (NOTAMs).
Option,0,Terminal Area Chart (TAC).
NewQuestion,MC,
Title,airspace_0002,
QuestionText,"1079 According to 14 CFR Part 107, the remote PIC of a small unmanned aircraft planning to operate within Class C airspace",
Points,1,
Difficulty,1,
Option,100,Is required to receive ATC authorization.
Option,0,Is required to file a flight plan.
Option,0,Must use a visual observer.
NewQuestion,MC,
Title,airspace_0003,
QuestionText,1305 What is the typical outer radius of the charted Class C shelf?,
Points,1,
Difficulty,1,
Option,100,10 NM
Option,0,20 NM
Option,0,30 NM
NewQuestion,MC,
Title,airspace_0004,
QuestionText,1087 Responsibility for collision avoidance in an alert area rests with,
Points,1,
Difficulty,1,
Option,0,The controlling agency
Option,100,All pilots
Option,0,Air Traffic Control
NewQuestion,MC,
Title,airspace_0005,
QuestionText,1296 Where can you find information about operating in an MOA along your planned route of flight?,
Points,1,
Difficulty,1,
Option,100,Sectional chart
Option,0,Chart supplement
Option,0,Aeronautical Information Manual.
NewQuestion,MC,
Title,airspace_0006,
QuestionText,1098 Which statement about longitude and latitude is true?,
Points,1,
Difficulty,1,
Option,0,Lines of longitude are parallel to the equator.
Option,100,Lines of longitude cross the equator at right angles.
Option,0,"The 0 degree latitude passes through Greenwich, England."
NewQuestion,MC,
Title,airspace_0007,
QuestionText,1112 The recommended entry position for manned aircraft to enter an airport traffic pattern is,
Points,1,
Difficulty,1,
Option,0,45 degrees to the base leg just below traffic pattern altitude.
Option,100,To enter 45 degrees at the midpoint of the downwind leg at traffic pattern altitude.
Option,0,To cross directly over the airport at traffic pattern altitude and join the downwind leg.
NewQuestion,MC,
Title,airspace_0008,
QuestionText,1115 What is required to enter an airport SIDA?,
Points,1,
Difficulty,1,
Option,0,You must pass TSA screening.
Option,0,You must have an FAA-issued pilot certificate.
Option,100,You must have an airport-issued or approved ID.
NewQuestion,MC,
Title,airspace_0009,
QuestionText,"1120 While operating a sUAS just south of a controlled airport with authorization, ATC notifies you to stay clear of the runway 6 final approach course. What action should you take to comply with this request?",
Points,1,
Difficulty,1,
Option,100,Stay clear of areas to the west and north of your area of operation.
Option,0,Stay clear of areas to the east and north of your area of operation.
Option,0,Stay clear of areas to the west and south of your area of operation.
NewQuestion,MC,
Title,airspace_0010,
QuestionText,1118 An aircraft announces that they are on short final for runway 9. Where will the aircraft be in relation to the airport?,
Points,1,
Difficulty,1,
Option,0,North
Option,100,West
Option,0,East
NewQuestion,MC,
Title,airspace_0011,
QuestionText,1130 Most midair collision accidents occur during,
Points,1,
Difficulty,1,
Option,0,Hazy days
Option,100,Clear days
Option,0,Cloudy nights
NewQuestion,MC,
Title,airspace_0012,
QuestionText,1131 Which technique should a remote pilot use to scan for traffic?,
Points,1,
Difficulty,1,
Option,0,Continuously scan the sky from right to left.
Option,0,Concentrate on relative movement detected in the peripheral vision area.
Option,100,Systematically focus on different segments of the sky for short intervals.
NewQuestion,MC,
Title,airspace_0013,
QuestionText,1312 A larger UAS is converging head-on; what should you do?,
Points,1,
Difficulty,1,
Option,0,The smaller aircraft should adjust course to the right.
Option,0,The larger aircraft should adjust course to the right.
Option,100,Both aircraft should adjust course to the right.
NewQuestion,MC,
Title,airspace_0014,
QuestionText,"1068 (Refer to Figure 20, Area 5.) How would a remote PIC “CHECK NOTAMS” as noted in the CAUTION box regarding the unmanned balloon?",
Points,1,
Difficulty,1,
Option,0,By reviewing only the airport diagram.
Option,0,By contacting the FAA district office.
Option,100,By obtaining a Flight Service briefing that includes the applicable NOTAMs.
NewQuestion,MC,
Title,airspace_0015,
QuestionText,1072 One of the purposes for issuing a temporary flight restriction (TFR) is to,
Points,1,
Difficulty,1,
Option,0,announce Parachute Jump Areas
Option,100,protect public figures
Option,0,identify Airport Advisory Areas
NewQuestion,MC,
Title,airspace_0016,
QuestionText,1075 (Refer to Figure 31) Within what airspace is Coeur D’Alene Pappy Boyington Fld located?,
Points,1,
Difficulty,1,
Option,0,Class B
Option,100,Class E
Option,0,Class D
NewQuestion,MC,
