NewQuestion,MC,
Title,regulations_0001,
QuestionText,"1001 A 1,280 g (2.8 lb) recreational quadcopter is registered using the small-aircraft registration system. Which regulation governs that registration?",
Points,1,
Difficulty,1,
Option,0,14 CFR Part 107
Option,100,14 CFR Part 48
Option,0,This operation is not subject to FAA regulations
NewQuestion,MC,
Title,regulations_0002,
QuestionText,1002 You have accepted football tickets in exchange for using your sUAS to videotape a future construction zone. What FAA regulation is this sUAS operation subject to?,
Points,1,
Difficulty,1,
Option,100,14 CFR Part 107
Option,0,14 CFR Part 101
Option,0,This operation is not subject to FAA regulations
NewQuestion,MC,
Title,regulations_0003,
QuestionText,1003 You plan to operate a 33 lb sUAS to capture aerial imagery over real estate for use in sales listings. What FAA regulation is this sUAS operation subject to?,
Points,1,
Difficulty,1,
Option,100,14 CFR Part 107
Option,0,14 CFR Part 101
Option,0,This operation is not subject to FAA regulations
NewQuestion,MC,
Title,regulations_0004,
QuestionText,"1004 Under Part 107, a small unmanned aircraft must weigh how much at takeoff, including everything on board or attached?",
Points,1,
Difficulty,1,
Option,100,Less than 55 lbs
Option,0,55 kg or less
Option,0,55 lbs or less
NewQuestion,MC,
Title,regulations_0005,
QuestionText,1005 “Unmanned aircraft” is defined as a device operated:,
Points,1,
Difficulty,1,
Option,0,During search and rescue operations other than public.
Option,100,Without the possibility of direct human intervention from the aircraft.
Option,0,For hobby and recreational use when not certified.
NewQuestion,MC,
Title,regulations_0006,
QuestionText,1006 Which of the following types of operations are excluded from the requirements in 14 CFR Part 107?,
Points,1,
Difficulty,1,
Option,100,Recreational flight meeting all requirements of 49 U.S.C. 44809.
Option,0,Crop monitoring for an agricultural business.
Option,0,UAS operation for a motion-picture filming business.
NewQuestion,MC,
Title,regulations_0007,
QuestionText,1007 Which of the following operations would be regulated by 14 CFR Part 107?,
Points,1,
Difficulty,1,
Option,0,Conducting public operations during a search mission.
Option,0,Flying for enjoyment with family and friends
Option,100,Operating your sUAS for an imagery company.
NewQuestion,MC,
Title,regulations_0008,
QuestionText,"1008 As a remote pilot with an sUAS rating, under which situation can you deviate from 14 CFR Part 107?",
Points,1,
Difficulty,1,
Option,0,When conducting public operations during a search mission.
Option,0,Flying for enjoyment with family and friends.
Option,100,In response to an in-flight emergency.
NewQuestion,MC,
Title,regulations_0009,
QuestionText,"1009 What action, if any, is appropriate if the remote pilot deviates from Part 107 during an emergency?",
Points,1,
Difficulty,1,
Option,0,Take no special action since you are a pilot-in-command.
Option,100,File a detailed report to the FAA administrator upon request.
Option,0,File a report to the FAA administrator as soon as possible.
NewQuestion,MC,
Title,regulations_0011,
QuestionText,"1010 To avoid a possible collision with a manned airplane, you estimate that your small unmanned aircraft climbed to an altitude greater than 600 feet AGL. To whom must you report the deviation?",
Points,1,
Difficulty,1,
Option,100,Upon request to the Federal Aviation Administration.
Option,0,The National Transportation Safety Board.
Option,0,Air Traffic Control.
NewQuestion,MC,
Title,regulations_0013,
QuestionText,1012 Which of the following individuals may process an application for a Part 107 remote pilot certificate with an sUAS rating?,
Points,1,
Difficulty,1,
Option,0,Commercial balloon pilot.
Option,0,Remote pilot in command.
Option,100,Designated Pilot Examiner.
NewQuestion,MC,
Title,regulations_0014,
QuestionText,"1013 After receiving a Part 107 remote pilot certificate with an sUAS rating, how often must you satisfy recurrent training requirements?",
Points,1,
Difficulty,1,
Option,0,Every 6 calendar months.
Option,0,Every 12 calendar months.
Option,100,Within the preceding 24 calendar months.
NewQuestion,MC,
Title,regulations_0015,
QuestionText,"1014 To satisfy medical requirements, all sUAS crewmembers must:",
Points,1,
Difficulty,1,
Option,0,Hold a valid third-class medical certificate.
Option,100,Be free of any physical or mental condition that would interfere with the safe operation of the small unmanned aircraft system.
Option,0,Complete a physical with an Aviation Medical Examiner.
NewQuestion,MC,
Title,regulations_0016,
QuestionText,1015 Which of the following would medically disqualify a Remote pilot?,
Points,1,
Difficulty,1,
Option,0,Taking a prescription medication that does not have any noticeable side effects.
Option,100,A migraine headache with the side effect of blurred vision.
Option,0,Occasional muscle soreness following exercise.
NewQuestion,MC,
Title,regulations_0017,
QuestionText,1016 Who is responsible for ensuring that there are enough crewmembers for a given sUAS operation?,
Points,1,
Difficulty,1,
Option,100,Remote pilot in command
Option,0,Person manipulating the controls
Option,0,Visual observer
NewQuestion,MC,
Title,regulations_0018,
QuestionText,1017 Who is ultimately responsible for preventing a hazardous situation before an accident occurs?,
Points,1,
Difficulty,1,
Option,100,Remote pilot in command
Option,0,Person manipulating the controls
Option,0,Visual observer
NewQuestion,MC,
Title,regulations_0019,
QuestionText,1018 Which crewmember must hold a remote pilot certificate with an sUAS rating?,
Points,1,
Difficulty,1,
Option,100,Remote pilot in command
Option,0,Person manipulating the controls
Option,0,Visual observer
NewQuestion,MC,
Title,regulations_0020,
QuestionText,"1019 When using a small unmanned aircraft in a commercial operation, who is responsible for briefing the participants about emergency procedures?",
Points,1,
Difficulty,1,
Option,0,The lead visual observer
Option,0,The FAA inspector-in-charge
Option,100,Remote pilot in command
NewQuestion,MC,
Title,regulations_0021,
QuestionText,1020 The remote PIC may operate how many sUAS at a time?,
Points,1,
Difficulty,1,
Option,100,1
Option,0,5
Option,0,No more than 2
NewQuestion,MC,
Title,regulations_0022,
QuestionText,1021 Which person must be directly supervised by a remote PIC who can immediately take control?,
Points,1,
Difficulty,1,
Option,0,A certificated remote PIC acting alone.
Option,100,A person manipulating the controls without the required remote pilot qualification.
Option,0,"Every visual observer, regardless of duties."
NewQuestion,MC,
Title,regulations_0023,
QuestionText,1022 A person without a Part 107 Remote Pilot certificate may operate an sUAS for commercial operations,
Points,1,
Difficulty,1,
Option,100,Under direct supervision of a qualified remote PIC who can immediately take direct control.
Option,0,Only when visual observers participate in the operation.
Option,0,"Alone, if operating during daylight hours."
NewQuestion,MC,
Title,regulations_0024,
