NewQuestion,MC,
Title,operations_0001,
QuestionText,1211 During the preflight inspection who is responsible for determining the aircraft is safe for flight?,
Points,1,
Difficulty,1,
Option,100,The remote pilot-in-command.
Option,0,The owner or operator.
Option,0,The certificated mechanic who performed the annual inspection.
NewQuestion,MC,
Title,operations_0002,
QuestionText,1212 How often is the remote PIC required to inspect the sUAS to ensure that it is in a condition for safe operation?,
Points,1,
Difficulty,1,
Option,0,Annually
Option,0,Monthly
Option,100,Before each flight
NewQuestion,MC,
Title,operations_0003,
QuestionText,1213 How should an sUAS preflight inspection be accomplished for the first flight of the day?,
Points,1,
Difficulty,1,
Option,0,Quick walk around with a check of gas and oil.
Option,100,Thorough and systematic means recommended by the manufacturer.
Option,0,Any sequence as determined by the pilot-in-command.
NewQuestion,MC,
Title,operations_0004,
QuestionText,"1214 During your preflight inspection, you discover that the casing of your sUAS battery has expanded beyond the normal dimensions. What action should you take?",
Points,1,
Difficulty,1,
Option,0,Throw it away with your household trash.
Option,0,Use it as long as it will still hold a charge.
Option,100,Follow the manufacturer’s guidance.
NewQuestion,MC,
Title,operations_0005,
QuestionText,"1215 While preparing your sUAS for flight, you notice that one of the propeller blades has a nick. What action should you take?",
Points,1,
Difficulty,1,
Option,0,"If the nick is less than ¼ the length of the blade, it is safe to operate without replacement."
Option,100,"Remove and replace the propeller, consult manufacturer guidelines for repair, if any."
Option,0,Repair by filling the nick to a smooth curve or with adhesive approved for use on the propeller material.
NewQuestion,MC,
Title,operations_0006,
QuestionText,1216 In which of the following scenarios is a remote PIC not required to perform a preflight inspection of their sUAS?,
Points,1,
Difficulty,1,
Option,0,If the subsequent flight occurs immediately following a flight before which an inspection was made.
Option,0,"Preflight inspections are only required for the first flight of the day, so any other flight does not require such an inspection."
Option,100,"Preflight inspections are required before each flight, thus there is no scenario that precludes such an inspection."
NewQuestion,MC,
Title,operations_0007,
QuestionText,"1217 Inbound to an airport with no tower, FSS, or UNICOM in operation, a pilot should self-announce on MULTICOM frequency",
Points,1,
Difficulty,1,
Option,0,123
Option,100,122.9
Option,0,122.7
NewQuestion,MC,
Title,operations_0008,
QuestionText,1279 The aircraft call sign N169US will be spoken in this way:,
Points,1,
Difficulty,1,
Option,100,November one six niner uniform sierra
Option,0,November one six niner unmanned system
Option,0,November one hundred sixty nine uniform sierra.
NewQuestion,MC,
Title,operations_0010,
QuestionText,"1219 The correct method of stating 4,500 feet MSL to ATC is",
Points,1,
Difficulty,1,
Option,100,“FOUR THOUSAND FIVE HUNDRED.”
Option,0,“FOUR POINT FIVE.”
Option,0,“FOUR-FIVE HUNDRED FEET MSL.”
NewQuestion,MC,
Title,operations_0012,
QuestionText,"1220 (Refer to Figure 20, area 3.) What is the recommended communications procedure for a landing at Currituck County Airport?",
Points,1,
Difficulty,1,
Option,100,Transmit intentions on 122.9 MHz when 10 miles out and give position reports in the traffic pattern.
Option,0,Contact Elizabeth City FSS for airport advisory service.
Option,0,Contact New Bern FSS for area traffic information.
NewQuestion,MC,
Title,operations_0013,
QuestionText,1221 When should pilots state their position on the airport when calling the tower for takeoff?,
Points,1,
Difficulty,1,
Option,0,When visibility is less than 1 mile.
Option,0,When parallel runways are in use.
Option,100,When departing from a runway intersection
NewQuestion,MC,
Title,operations_0014,
QuestionText,"1222 As standard operating practice, manned aircraft approaching a non-towered airport should monitor and communicate on the appropriate CTAF starting how far from the airport?",
Points,1,
Difficulty,1,
Option,0,25 miles
Option,0,20 miles
Option,100,10 miles
NewQuestion,MC,
Title,operations_0015,
QuestionText,1223 Absence of the sky condition and visibility on an ATIS broadcast indicates that,
Points,1,
Difficulty,1,
Option,0,weather conditions are at or above VFR minimums.
Option,0,the sky condition is clear and visibility is unrestricted.
Option,100,"the ceiling is at least 5,000 feet and visibility is 5 miles or more."
NewQuestion,MC,
Title,operations_0016,
QuestionText,"1224 (Refer to Figure 22 area 2; and Figure 31.) At Coeur D’Alene, which frequency should be used as a Common Traffic Advisory Frequency (CTAF) to monitor airport traffic?",
Points,1,
Difficulty,1,
Option,0,122.05 MHz.
Option,0,135.075 MHz.
Option,100,122.8 MHz.
NewQuestion,MC,
Title,operations_0017,
QuestionText,"1330 (Refer to Figure 21, Area 1.) After receiving authorization from ATC to operate a small UA near Minot International airport (MOT) while the control tower is operational, which radio communication frequency could be used to monitor manned aircraft and ATC communications?",
Points,1,
Difficulty,1,
Option,0,UNICOM 122.95
Option,0,ASOS 118.725
Option,100,CT-118.2
NewQuestion,MC,
Title,operations_0018,
QuestionText,"1225 (Refer to Figure 26, area 2.) What is the recommended communication procedure when operating in the vicinity of Cooperstown Airport?",
Points,1,
Difficulty,1,
Option,100,"Broadcast intentions when 10 miles out and monitor transmissions on the CTAF/MULTICOM frequency, 122.9 MHz."
Option,0,Contact UNICOM when 10 miles out on 122.8 MHz.
